,0,1,2,3,4,frXle,fre_pct,grade
的,15550,1,3.132668810289386,1424,2.828651685393258,22143200,0.03292022508542322,1
一,10544,1,3.136096358118355,1451,2.839421088904203,15299344,0.05524246645524331,1
了,10434,1,3.127755414989455,1265,2.898023715415022,13199010,0.07733183163474852,1
小,7021,1,2.855148839196689,1161,2.733850129198965,8151381,0.09219568374566532,1
我,5955,1,3.022670025188917,1086,2.808471454880293,6467130,0.1048027538668033,1
是,4832,1,3.143004966887421,1151,2.9365768896611613,5561632,0.11503236979045377,1
上,4577,1,3.063797247105084,1212,2.896039603960395,5547324,0.12472213636382883,1
在,4659,1,3.128783000643913,1183,2.930684699915467,5511597,0.13458550155180224,1
来,4544,1,3.098811619718313,1141,2.943032427695004,5184704,0.14420540526808284,1
不,4519,1,3.143173268422213,1116,2.950716845878139,5043204,0.15377238257747367,1
有,4212,1,3.08974358974359,1143,2.929133858267717,4814316,0.1626894236102584,1
子,4755,1,3.039116719242899,999,2.92892892892893,4750245,0.17275602620068847,1
着,4056,1,3.111193293885601,1068,2.917602996254681,4331808,0.18134280645448117,1
地,3678,1,3.15388798259924,1091,2.9459211732355612,4012698,0.18912933943610089,1
大,3679,1,3.017396031530303,1046,2.893881453154875,3848234,0.1969179894739962,1
天,3520,1,3.073011363636361,1057,2.912961210974454,3720640,0.20437002756407271,1
说,3833,1,3.104096008348548,913,2.945235487404162,3499529,0.21248470426840887,1
到,3382,1,3.170904790065047,1015,2.9960591133004932,3432730,0.21964458859245398,1
里,3300,1,3.069696969696968,1018,2.931237721021609,3359400,0.22663087430190068,1
们,3388,1,3.113636363636369,876,2.950913242009131,2967888,0.23380346096359933,1
个,3152,1,3.176395939086294,898,3.013363028953229,2830496,0.24047642234425876,1
他,3580,1,3.217877094972062,752,3.04787234042553,2692160,0.24805548381087067,1
看,2729,1,3.050567973616709,856,3.009345794392524,2336024,0.25383293038695554,1
这,2580,1,3.294573643410851,843,3.131672597864766,2174940,0.25929493557797756,1
就,2406,1,3.128428927680798,864,3.011574074074075,2078784,0.2643885729770469,1
去,2454,1,3.098207008964954,843,2.9964412811387913,2068722,0.2695838290773445,1
人,2660,1,3.202631578947367,765,3.05751633986928,2034900,0.2752151987704137,1
你,2639,1,3.0962485790072,756,2.997354497354495,1995084,0.2808021102816955,1
下,2129,1,3.08595584781588,863,2.990730011587487,1837327,0.28530932309242646,1
好,2162,1,3.044865864939872,816,2.9742647058823533,1764192,0.28988639876025185,1
儿,2270,1,3.125991189427313,744,2.915322580645163,1688880,0.294692116505841,1
么,2078,1,3.166987487969201,787,3.031766200762388,1635386,0.2990913594465168,1
起,2021,1,3.145472538347349,808,3.019801980198021,1632968,0.30336993017948405,1
把,1914,1,3.124346917450364,769,3.083224967490246,1471866,0.30742197589096315,1
家,1987,1,2.9476597886260762,739,2.874154262516913,1468393,0.3116285667105603,1
得,1846,1,3.245395449620801,776,3.108247422680411,1432496,0.3155366525952993,1
出,1766,1,3.223103057757643,786,3.059796437659033,1388076,0.3192753739779911,1
时,1559,1,3.19114817190507,722,3.073407202216065,1125598,0.32257586471163574,1
过,1661,1,3.179409993979525,665,3.084210526315788,1104565,0.3260922951853906,1
多,1578,1,3.093789607097591,687,2.9985443959243083,1084086,0.3294330099882715,1
也,1527,1,3.162409954158479,708,3.060734463276837,1081116,0.3326657549210973,1
又,1566,1,3.197956577266921,671,3.095380029806258,1050786,0.33598106504867115,1
花,1851,1,2.839546191247977,547,2.747714808043875,1012497,0.3398997362147881,1
要,1532,1,3.158616187989556,649,3.070878274268105,994268,0.34314306642899184,1
只,1610,1,3.125465838509317,602,3.044850498338872,969220,0.3465515270326916,1
水,1791,1,2.981016192071465,537,2.875232774674116,961767,0.3503431748222731,1
和,1432,1,3.050279329608941,668,2.989520958083832,956576,0.35337479940891786,1
那,1527,1,3.307138179436806,588,3.149659863945576,897876,0.3566075443417437,1
树,1813,1,3.038610038610038,489,2.820040899795501,886557,0.3604457673693882,1
妈,2796,1,2.988197424892701,309,2.669902912621358,863964,0.3663650567159376,1
都,1299,1,3.056197074672826,663,2.996983408748113,861237,0.3691151128179289,1
很,1363,1,3.129126925898752,571,3.056042031523643,778273,0.372000660521558,1
想,1338,1,3.180119581464873,544,3.112132352941177,727872,0.3748332818182973,1
头,1206,1,3.063847429519073,584,3.035958904109588,704304,0.37738645168665874,1
可,1140,1,3.236842105263159,599,3.11686143572621,682860,0.37979989584083124,1
还,1123,1,3.206589492430988,606,3.102310231023102,680538,0.3821773500383187,1
动,1113,1,3.072776280323451,610,2.963934426229508,678930,0.3845336336730503,1
它,1435,1,3.184668989547041,462,3.023809523809523,662970,0.3875716094285218,1
会,1188,1,3.121212121212122,555,3.037837837837839,659340,0.39008667228392263,1
开,1144,1,3.09702797202797,570,3.022807017543859,652080,0.3925085846631975,1
见,1147,1,2.980819529206626,538,2.985130111524162,617086,0.39493684821129915,1
没,1128,1,3.148936170212767,545,3.064220183486241,614760,0.3973248876901646,1
自,1103,1,3.157751586582049,554,3.102888086642598,611062,0.39966000076214026,1
边,1217,1,3.052588331963841,500,3.014000000000001,608500,0.4022364582495332,1
高,1085,1,3.020276497695854,558,2.9856630824372763,605430,0.40453346430854825,1
山,1363,1,3.058694057226705,426,2.910798122065726,580638,0.4074190120121773,1
快,1084,1,3.051660516605166,523,2.9617590822179722,566932,0.4097139010149168,1
走,1118,1,3.105545617173523,488,3.047131147540983,545584,0.4120807699310263,1
白,1170,1,2.798290598290598,463,2.825053995680346,541710,0.4145577257734665,1
能,1077,1,3.233983286908079,501,3.097804391217566,539577,0.41683779538227683,1
什,1024,1,3.1767578125,516,3.087209302325583,528384,0.4190056610084809,1
长,1097,1,3.156791248860529,477,3.002096436058701,523269,0.42132807174280307,1
成,1014,1,3.148915187376724,505,3.031683168316832,512070,0.42347476680625123,1
从,989,1,3.196157735085942,517,3.079303675048357,511313,0.42556853546280965,1
回,1013,1,3.038499506416582,489,3.000000000000001,495357,0.42771311346998225,1
呢,965,1,3.062176165803109,513,2.9688109161793363,495045,0.42975607277592653,1
文,931,1,2.829215896885068,518,2.781853281853283,482258,0.43172705216850077,1
为,957,1,3.191222570532916,499,3.076152304609219,477543,0.4337530750242403,1
后,949,1,3.227608008429927,501,3.1397205588822352,475449,0.43576216142977514,1
心,936,1,3.235042735042734,498,3.112449799196786,466128,0.4377437261037273,1
像,990,1,3.110101010101008,463,3.010799136069113,458370,0.4398396118165613,1
中,934,1,3.218415417558886,489,3.07566462167689,456726,0.4418169423779623,1
老,1295,1,3.109652509652511,350,3.017142857142857,453250,0.44455853025485126,1
样,931,1,3.271750805585392,484,3.198347107438016,450604,0.44652950964742544,1
生,991,1,3.147325933400601,434,3.092165898617512,430094,0.44862751241653503,1
学,1085,1,3.095852534562213,393,2.8880407124681913,426405,0.4509245184755501,1
作,827,1,2.916565900846432,515,2.838834951456309,425905,0.45267532401546295,1
面,915,1,3.154098360655737,458,3.067685589519651,419070,0.45461243050762773,1
道,878,1,3.238041002277902,449,3.1826280623608,394222,0.4564712059175957,1
对,887,1,3.062006764374295,440,3.072727272727272,390280,0.45834903483404393,1
笑,839,1,3.053635280095351,460,2.950000000000001,385940,0.4601252450492639,1
字,961,1,2.786680541103018,400,2.735,384400,0.4621597361301058,1
飞,1003,1,2.955134596211366,377,2.86206896551724,378131,0.4642831435745225,1
前,806,1,3.188585607940445,469,3.108742004264391,378014,0.46598949093264797,1
用,876,1,3.083333333333335,430,3.100000000000001,376680,0.46784403223006477,1
给,897,1,2.992196209587513,416,2.9879807692307683,373152,0.4697430317092689,1
风,1004,1,2.982071713147408,371,2.935309973045823,372484,0.47186855620996115,1
声,862,1,3.1624129930394442,425,3.04705882352941,366350,0.4736934587195197,1
叫,852,1,3.018779342723003,418,2.9784688995215323,356136,0.4754971906663223,1
问,883,1,3.081540203850511,401,3.019950124688278,354083,0.4773665513576682,1
听,839,1,3.112038140643624,421,3.047505938242279,353219,0.47914276157288815,1
点,857,1,3.099183197199533,399,3.107769423558897,341943,0.4809570788010687,1
真,762,1,3.038057742782152,428,2.955607476635513,326136,0.4825702756830682,1
发,779,1,3.283697047496792,412,3.216019417475727,320948,0.48421946252175274,1
本,643,1,2.8942457231726273,496,2.7903225806451593,318928,0.4855807297069571,1
手,801,1,2.9800249687890132,387,3.020671834625323,309987,0.4872764917837046,1
孩,1001,1,3.230769230769231,300,3.093333333333332,300300,0.4893956651155701,1
然,725,2,3.293793103448278,411,3.194647201946473,297975,0.4909305309153728,1
太,863,1,3.14252607184241,343,3.046647230320698,296009,0.4927575504812069,1
阳,923,1,2.911159263271938,307,2.9511400651465793,283361,0.4947115934235764,1
色,823,1,2.970838396111787,341,3.01759530791789,280643,0.4964539307383869,1
己,710,1,3.184507042253521,388,3.13917525773196,275480,0.4979570406940557,1
她,959,2,3.25130344108446,279,3.021505376344087,267561,0.49998729766234645,1
做,721,1,3.127600554785022,354,3.028248587570621,255234,0.5015136952370468,1
美,723,1,3.175656984785615,349,3.022922636103149,252327,0.5030443269242983,1
气,685,1,3.2204379562043792,362,3.12430939226519,247970,0.5044945104730774,1
进,656,1,3.11280487804878,378,3.108465608465607,247968,0.5058832993898644,1
怎,647,1,3.162287480680061,380,3.092105263157896,245860,0.507253034800171,1
年,739,1,3.194857916102843,330,3.21212121212121,243870,0.508817539387832,1
两,671,1,3.113263785394934,361,3.069252077562325,242231,0.5102380841487528,1
跑,723,1,3.042876901798062,329,2.9361702127659592,237867,0.5117687158360044,1
红,696,1,2.8749999999999942,341,2.727272727272726,237336,0.513242187003815,1
知,631,1,3.071315372424723,371,3.113207547169811,234101,0.5145780495137122,1
草,726,1,2.944903581267217,314,2.8630573248407662,227964,0.5161150323697905,1
吧,664,1,3.07379518072289,343,3.075801749271135,227752,0.5175207577367822,1
身,634,2,3.151419558359622,355,3.11830985915493,225070,0.5188629714155062,1
光,710,1,3.030985915492956,316,3.018987341772151,224360,0.520366081371175,1
写,710,1,2.79014084507042,314,2.8980891719745223,222940,0.5218691913268438,1
吗,644,1,3.256211180124226,341,3.143695014662759,219604,0.5232325755683238,1
眼,601,2,3.009983361064894,357,3.011204481792714,214557,0.5245049263899533,1
绿,676,1,2.8047337278106523,314,2.757961783439487,212264,0.525936056432252,1
啊,670,1,3.086567164179104,316,3.022151898734178,211720,0.5273544841368973,1
事,656,1,3.169207317073169,321,3.059190031152648,210576,0.5287432730536843,1
以,608,1,3.330592105263158,344,3.21220930232558,209152,0.530030443269243,1
明,598,1,2.9882943143812692,348,3.011494252873563,208104,0.5312964429220458,1
方,645,1,3.244961240310079,317,3.157728706624607,204465,0.5326619442198013,1
向,624,1,3.254807692307691,326,3.150306748466256,203424,0.5339829873357693,1
住,609,1,3.157635467980296,328,3.060975609756098,199752,0.5352722746076036,1
叶,736,1,2.832880434782608,266,2.81203007518797,195776,0.5368304280264378,1
几,573,1,3.153577661431065,337,3.071216617210682,193101,0.5380435012723508,1
吃,728,1,3.004120879120874,264,2.912878787878789,192192,0.5395847182409803,1
二,599,1,2.979966611018361,320,2.962499999999999,191680,0.5408528349500586,1
画,1050,1,2.982857142857143,181,2.8232044198895023,190050,0.543075744039428,1
鸟,752,1,2.8484042553191493,248,2.649193548387095,186496,0.5446677703586716,1
候,572,1,3.171328671328672,325,3.166153846153844,185900,0.5458787265483092,1
别,561,1,3.327985739750445,331,3.208459214501509,185691,0.5470663951189151,1
路,670,1,3.192537313432836,271,3.040590405904058,181570,0.5484848228235603,1
春,733,1,2.999999999999999,247,2.910931174089068,181051,0.5500366250735677,1
国,687,1,2.9970887918486113,261,3.038314176245209,179307,0.551491042734898,1
亮,616,1,2.925324675324676,287,2.864111498257838,176792,0.5527951494006613,1
现,543,2,3.351749539594843,321,3.26791277258567,174303,0.5539447109583067,1
三,596,1,3.025167785234897,287,2.947735191637631,171052,0.5552064764985583,1
种,641,1,3.05616224648986,265,3.056603773584906,169865,0.5565635095712114,1
者,453,1,2.83664459161148,374,2.775401069518718,169422,0.5575225360640537,1
正,515,1,3.069902912621359,327,3.100917431192658,168405,0.5586128200459824,1
月,690,1,2.805797101449278,242,2.789256198347107,166980,0.5600735888761396,1
让,527,2,3.20303605313093,311,3.118971061093247,163897,0.5611892775333754,1
爱,572,1,3.036713286713287,284,2.940140845070422,162448,0.5624002337230128,1
放,563,1,3.07992895204263,286,3.024475524475524,161018,0.5635921364061699,1
呀,566,1,2.975265017667843,284,2.97887323943662,160744,0.5647903902581538,1
海,707,1,3.036775106082035,227,2.94713656387665,160489,0.5662871490449959,1
打,551,1,3.168784029038112,291,3.058419243986256,160341,0.567453647052846,1
歌,580,1,2.8793103448275863,275,2.756363636363637,159500,0.5686815396926881,1
兴,495,1,3.028282828282829,321,3.012461059190032,158895,0.5697294825491052,1
爸,936,1,3.080128205128203,168,2.8095238095238093,157248,0.5717110472230573,1
再,492,1,3.138211382113821,303,3.095709570957095,149076,0.5727526389106475,1
雨,692,1,3.005780346820809,215,2.9023255813953472,148780,0.5742176418533558,1
果,555,1,3.007207207207209,266,2.9774436090225582,147630,0.5753926080863081,1
